Station,Date,Time,Temp,pH,SpCond,TDS,Redox,DO_mgL,DO_Sat,Depth_m,Chlorophyll-a_ugL,Salinity_psu,Year
Arctic Outflow,9/23/2024,11:36,19.306,7.339,469.8,0.3008,113.5,0.236,2.67,0.1944,,0.23,24
Arctic Outflow,10/24/2024,11:23,10.186,7.133,516.5,0.3303,201.8,2.709,24.97,0.0608,,0.25,24
Boiling Springs Down,1/24/2024,10:17,10.131,7.24,614.7,0.393,156.1,3.173,28.92,0.2209,0,0.3,24
Boiling Springs Down,2/12/2024,9:52,10.498,7.46,608.1,0.3891,167.5,2.82,26.1,0.1952,0,0.3,24
Boiling Springs Down,3/6/2024,14:38,11.29,7.316363636,616.6363636,0.394545455,154.2727273,2.774545455,26.04545455,0.443090909,0.114545455,0.3,24
Boiling Springs Down,3/20/2024,10:08,10.32666667,7.142222222,607.6666667,0.389,162.2222222,2.393333333,21.83333333,0.232111111,0.023333333,0.3,24
Boiling Springs Down,4/22/2024,10:30,11.702,7.14,613.6,0.3927,169.7,2.627,25.09,0.1584,0.22,0.3,24
Boiling Springs Down,5/8/2024,15:11,13.006,7.372,619,0.396,143.6,2.52,24.9,0.1091,0.2,0.3,24
Boiling Springs Down,5/27/2024,11:57,11.743,7.289,607.95,0.38915,141.85,2.0265,19.375,0.19025,0.411,0.3,24
Boiling Springs Down,6/11/2024,10:49,11.75,7.374285714,622.1428571,0.398214286,154,2.409285714,23.04285714,0.017857143,0.038571429,0.31,24
Boiling Springs Down,6/27/2024,14:38,11.77363636,7.434545455,624.3636364,0.399636364,152.9090909,2.164545455,20.62727273,0.272181818,,0.31,24
Boiling Springs Down,7/11/2024,14:29,12.16,7.310909091,631,0.404,161.5454545,2.600909091,24.87272727,0.317272727,,0.31,24
Boiling Springs Down,8/9/2024,8:20,11.56,7.405333333,621.1333333,0.3974,131,2.266666667,21.36666667,0.238,,0.31,24
Boiling Springs Down,9/3/2024,14:58,11.94333333,7.192222222,617,0.395,135.3333333,1.681111111,15.93333333,0.129222222,,0.3,24
Boiling Springs Down,9/18/2024,10:42,11.907,7.261,624.2,0.3996,131.1,2.075,19.86,0.2749,,0.31,24
Boiling Springs Down,10/23/2024,10:41,11.344,7.134,23.5,0.0151,124.2,1.742,16.25,0.2557,,0.013,24
Boiling Springs Down,11/7/2024,11:26,11.305,7.278,639.3,0.409,135,2.616,24.32,0.273,,0.319,24
Boiling Springs Down,11/20/2024,14:20,10.623,7.332,619,0.396,148.6,2.451,22.91,0.3802,,0.31,24
Boiling Springs Down,12/2/2024,14:21,10.239,7.365,622,0.398,141.8,2.808,25.3,0.2549,,0.31,24
Boiling Springs Down,12/4/2024,10:15,10.49,7.415,602.8,0.3858,138.6,2.373,22.1,-0.070828666,,0.3,24
Boiling Springs Up 1,1/24/2024,10:25,8.07,7.39,695,0.445,173,7.523,65.24,0.2111,0.189,0.34,24
Boiling Springs Up 1,2/12/2024,9:58,7.467,7.54,698.1,0.4467,190.9,7.848,67.52,0.2003,0.079,0.35,24
Boiling Springs Up 1,3/6/2024,14:45,10.304,7.509,704.9,0.451,187.6,7.368,67.67,0.4171,0.702,0.35,24
Boiling Springs Up 1,3/20/2024,10:22,6.562,7.359,659.8,0.422,201.1,8.383,69.75,0.1999,0.324,0.33,24
Boiling Springs Up 1,4/22/2024,10:40,10.885,7.496,710.6,0.4548,237.9,7.545,70.78,0.1333,0.483,0.35,24
Boiling Springs Up 1,5/8/2024,14:57,15.304,7.492,722,0.462,206.7,6.522,67.74,0.0776,0.766,0.36,24
Boiling Springs Up 1,5/27/2024,11:37,11.336,7.237,714,0.457,229.4,6.435,60.99,0.1877,1.556,0.35,24
Boiling Springs Up 1,6/11/2024,10:20,11.766,7.326,434.9,0.2786,247.7,6.516,62.31,0.0452,0.6,0.21,24
Boiling Springs Up 1,6/27/2024,14:21,12.38,7.528,727.7,0.466,192.9,6.707,64.83,0.2313,,0.36,24
Boiling Springs Up 1,7/11/2024,14:16,13.299,7.405,729,0.4669,226.8,6.686,65.66,0.174,,0.36,24
Boiling Springs Up 1,8/9/2024,8:00,11.65,7.496,720.2,0.461,189.5,7.046,66.62,0.1221,,0.36,24
Boiling Springs Up 1,9/3/2024,14:33,13.049,7.087,724.1,0.4636,228.8,6.534,63.56,0.2217,,0.36,24
Boiling Springs Up 1,9/18/2024,10:15,12.658,7.243,716,0.458,205.9,6.344,61.79,0.0595,,0.35,24
Boiling Springs Up 1,10/23/2024,10:09,10.64,7.088,722.2,0.4622,202.6,6.048,55.58,0.2647,,0.36,24
Boiling Springs Up 1,11/7/2024,10:53,9.876,7.144,722,0.462,207.5,6.2,55.77,0.2891,,0.36,24
Boiling Springs Up 1,11/20/2024,13:47,8.412,7.296,677.2,0.4334,231.5,6.611,58.62,0.4369,,0.338,24
Boiling Springs Up 1,12/2/2024,13:58,7.0855,6.983,579.55,0.37085,204.6,7.253,60.575,0.18595,,0.2875,24
Boiling Springs Up 1,12/4/2024,10:03,7.794545455,7.401818182,720.9090909,0.461272727,204.7272727,6.843636364,59.75454545,-0.056989858,,0.36,24
Boiling Springs Up 2,1/24/2024,10:21,9.694545455,7.292727273,787.3636364,0.503818182,167.7272727,6.083636364,54.76363636,0.160090909,0.033636364,0.394545455,24
Boiling Springs Up 2,2/12/2024,9:55,9.609090909,7.455454545,792,0.507,184.8181818,5.844545455,52.98181818,0.167636364,0.001818182,0.39,24
Boiling Springs Up 2,3/6/2024,14:41,10.99,7.357777778,802,0.513,197.6666667,5.792222222,54.05555556,0.431333333,0.221111111,0.4,24
Boiling Springs Up 2,3/20/2024,10:16,8.835,7.2875,802,0.513,199.3333333,6.378333333,56.125,0.205,1.371666667,0.4,24
Boiling Springs Up 2,4/22/2024,10:33,11.32428571,7.277142857,805.1428571,0.515428571,227.7142857,6.305714286,59.75714286,0.122571429,0.908571429,0.4,24
Boiling Springs Up 2,5/8/2024,14:48,13.233,7.174,814.9,0.5214,224.1,5.679,56.39,0.069,0.525,0.4,24
Boiling Springs Up 2,5/27/2024,11:13,11.358,6.93,794.5,0.5085,261.1,5.191,49.22,0.1543,0.366,0.39,24
Boiling Springs Up 2,6/11/2024,10:36,11.65545455,7.286363636,816.2727273,0.522454545,257.7272727,5.327272727,50.86363636,0.052272727,0.192727273,0.41,24
Boiling Springs Up 2,6/27/2024,14:10,12.02888889,7.397777778,855.8888889,0.547888889,191,5.656666667,54.23333333,0.144444444,,0.43,24
Boiling Springs Up 2,7/11/2024,14:05,12.88,7.266,831.5,0.5321,272.6,5.508,53.6,0.2065,,0.41,24
Boiling Springs Up 2,8/9/2024,8:11,15.64727273,7.636363636,0,0,293.7272727,9.373636364,96.56363636,0.185363636,,0.01,24
Boiling Springs Up 2,9/3/2024,14:48,12.92666667,7.15,836.4444444,0.535,250.5555556,5.274444444,51.16666667,0.111888889,,0.42,24
Boiling Springs Up 2,9/18/2024,10:32,12.748,7.242,838,0.5361,252.5,4.936,48.17,0.0635,,0.42,24
Boiling Springs Up 2,10/23/2024,10:27,11.51,7.133,803.2,0.514,222,4.501,42.24,0.372,,0.4,24
Boiling Springs Up 2,11/7/2024,11:10,11.387,7.209,161.5,0.1034,224,5.039,46.89,0.224,,0.078,24
Boiling Springs Up 2,11/20/2024,14:06,10.171,7.325,809.1,0.5179,231.8,5.472,50.62,0.4188,,0.4,24
Boiling Springs Up 2,12/2/2024,14:15,9.48,7.167,822,0.526,235.6,5.532,49.01,0.1919,,0.41,24
Boiling Springs Up 2,12/4/2024,10:08,9.77,7.347,816,0.522,245.2,5.327,48.8,-0.066975429,,0.41,24
Coghill Stream,9/19/2024,10:45,14.954,7.438,764,0.489,332.9,7.882,81.3,-0.007550187,1.56,0.38,24
Deans Lake,6/19/2024,8:34,22.3825,8.0215,483.6,0.3094,339.45,5.7485,67.82,0.7648,9.527,0.231,24
Deans Lake,8/14/2024,10:00,23.81,9.072,456,0.292,341.1,14.053,170.96,0.4656,,0.22,24
Deans Lake,10/14/2024,10:44,11.1215,8.2845,513,0.32805,322,9.746,90.4,0.5123,,0.25,24
Howard Lake,4/11/2024,8:57,11.84083333,8.5125,521.6666667,0.334,257.75,13.35,129.1416667,0.485333333,7.408333333,0.26,24
Howard Lake,4/22/2024,8:50,9.71875,8.72,442.625,0.28325,291.5,15.335,140.75,0.59125,3.5275,0.2175,24
Howard Lake,5/6/2024,10:10,16.67,10.16266667,394.0666667,0.252,254.0666667,17.34066667,185.48,0.569266667,11.31266667,0.19,24
Howard Lake,5/20/2024,10:06,20.0425,9.209,414.6,0.26525,352.85,6.617,76.13,0.43875,3.98,0.2,24
Howard Lake,6/5/2024,9:49,21.716,7.604,481.4,0.308,337.9333333,6.725333333,80.58,0.589,20.11866667,0.23,24
Howard Lake,6/17/2024,14:28,20.013,6.686,476.7,0.305,51.1,0.286,3.28,0.6885,18.43,0.23,24
Howard Lake,6/24/2024,9:41,23.35818182,7.768181818,472.3636364,0.302363636,389.1818182,9.875454545,120.9090909,0.109090909,7.37,0.23,24
Howard Lake,7/8/2024,8:35,23.28555556,7.502222222,466.5555556,0.298555556,381.7777778,5.908888889,72.12222222,0.551222222,,0.23,24
Howard Lake,7/22/2024,8:43,23.748,7.138,482,0.309,397.2,1.181,14.48,0.6894,,0.23,24
Howard Lake,8/5/2024,9:19,24.74666667,7.224666667,451.8,0.289133333,335.2,1.775333333,22.14666667,0.133133333,,0.219333333,24
Howard Lake,8/19/2024,9:03,23.056,7.346,493.9333333,0.316,391.7333333,2.861333333,34.38666667,0.6098,,0.24,24
Howard Lake,9/3/2024,9:47,20.91866667,7.3,515.9333333,0.33,378,3.794666667,43.76666667,0.596933333,,0.25,24
Howard Lake,9/16/2024,10:00,22.802,7.434,535,0.343,353.7,4.93,59.21,0.5549,,0.26,24
Howard Lake,9/26/2024,11:13,19.244,7.331333333,542,0.347,281.1333333,6.272,70.40666667,0.677866667,,0.26,24
Howard Lake,10/21/2024,10:18,14.312,7.609,574,0.367,353.3,9.289,94.14,0.5375,,0.28,24
Jeurrisen,4/4/2024,15:07,4.512,6.361,965.7,0.6181,294.9,10.602,85.3,0.1422,5.02,0.49,24
Jeurrisen,4/9/2024,14:57,6.063,6.461,927,0.593,323.5,8.89,74.69,0.1967,6.661,0.47,24
Jeurrisen,4/17/2024,14:37,8.187,6.863,882,0.565,276,5.845,51.86,0.1124,5.752,0.44,24
Jeurrisen,4/24/2024,10:04,7.231,6.725,969.2,0.6202,286.6,4.276,36.44,0.2542,5.309,0.49,24
Jeurrisen,4/29/2024,14:45,8.97,7.085454545,906,0.58,355,4.682727273,42.40909091,0.230272727,6.181818182,0.45,24
Jeurrisen,5/7/2024,14:48,15.76777778,7.024444444,863,0.552444444,278.6666667,3.91,41.81111111,-0.034478876,4.405555556,0.43,24
Jeurrisen,5/14/2024,8:28,13.797,6.809,933.6,0.5975,297.1,1.64,16.5,0.0741,6.622,0.47,24
Jeurrisen,5/22/2024,15:26,17.58,7.047,705.9,0.4519,280,2.718,29.8,0.3311,22.948,0.35,24
Jeurrisen,5/29/2024,10:15,14.217,6.887,772.8,0.4947,269.9,1.694,16.96,0.3232,12.729,0.38,24
Jeurrisen,6/4/2024,14:18,20.546,7.067,649.5,0.4157,324.3,1.677,19.64,0.4324,5.335,0.32,24
Jeurrisen,6/13/2024,13:47,19.221,7.061,711,0.455,277.4,1.742,19.66,0.0686,5.681,0.35,24
Jeurrisen,6/18/2024,9:02,18.965,7.106,585,0.375,235.2,0.852,9.65,0.2539,4.886,0.29,24
Jeurrisen,6/27/2024,9:58,19.27090909,7.042727273,667.2727273,0.427,170.0909091,0.575454545,6.463636364,0.370454545,,0.33,24
Jeurrisen,7/1/2024,14:51,18.22,6.935555556,669,0.428,244.3333333,0.934444444,10.26666667,0.108222222,,0.33,24
Jeurrisen,7/11/2024,9:02,19.3,6.962,731.8,0.468,202.6,0.85,9.53,0.3544,,0.36,24
Jeurrisen,7/16/2024,10:09,20.29,6.92,780.8,0.4998,175.8,0.752,8.65,0.1265,,0.38,24
Jeurrisen,7/26/2024,9:26,19.43809524,7.595238095,821.1904762,0.525714286,297.7619048,6.031904762,68.58095238,0.123238095,,0.404285714,24
Jeurrisen,8/2/2024,8:34,20.06,7.123333333,810,0.518,205.2222222,1.021111111,11.63333333,0.316222222,,0.4,24
Jeurrisen,8/8/2024,14:36,19.14,6.995,831,0.532,262.2,1.28,14.37,0.1223,,0.41,24
Jeurrisen,8/13/2024,9:46,15.61,6.979,869,0.556,281.7,1.601,16.61,0.1435,,0.43,24
Jeurrisen,8/20/2024,9:23,17.57,7.106,864.4,0.5531,255.5,1.253,13.49,0.2475,,0.43,24
Jeurrisen,8/26/2024,10:32,20.91,7.046,910.1,0.5822,202.1,1.211,14.08,0.0434,,0.45,24
Jeurrisen,9/4/2024,15:07,17.79090909,6.831818182,839,0.537,257.3636364,1.668181818,18.17272727,0.203181818,,0.41,24
Jeurrisen,9/9/2024,13:58,15.90555556,6.886666667,959.8888889,0.614333333,276.5555556,2.068888889,21.68888889,0.062333333,,0.48,24
Jeurrisen,9/16/2024,14:49,20.457,7.053,1016,0.6501,217.7,1.712,19.7,0.1024,,0.5,24
Jeurrisen,9/24/2024,14:43,15.67,6.999,1040,0.6658,238.1,2.085,21.89,-0.021015077,,0.52,24
Jeurrisen,10/1/2024,11:01,12.194,7.078,1061,0.679,154.4,2.045,19.61,0.1953,,0.53,24
Jeurrisen,10/10/2024,10:10,12.845,7.033,540.4,0.34585,294.45,5.9695,60.275,0.10545,,0.275,24
Jeurrisen,10/18/2024,9:30,9.013,7.002,1098.5,0.7031,168.7,1.288,11.51,0.0955,,0.55,24
Jeurrisen,10/22/2024,9:54,12.758,7.14,1142.6,0.7312,81.9,0.767,7.55,0.1049,,0.576,24
Jeurrisen,10/28/2024,10:27,9.205,7.087,1155.8,0.7397,112.7,2.448,22.29,0.1301,,0.581,24
Jeurrisen,11/6/2024,14:48,6.363,6.491,873.3,0.559,320,5.107,42.71,0.3445,,0.438,24
Jeurrisen,11/12/2024,10:09,3.54,6.556,970,0.621,323.1,6.324,49.06,0.3038,,0.49,24
Lucky 7-2,4/4/2024,15:44,12.064,7.785,985.3,0.6305,318.6,14.434,139.07,0.1133,5.631,0.49,24
Lucky 7-2,4/9/2024,15:30,10.546,7.37,938.6,0.6007,317.3,12.668,118.39,0.1635,5.871,0.47,24
Lucky 7-2,4/17/2024,10:30,8.06,7.447,855.9,0.548,298.5,11.13,98.65,0.0453,8.221,0.43,24
Lucky 7-2,4/24/2024,11:07,10.597,7.888,952.1,0.6094,262.3,15.049,138.47,0.2355,4.737,0.48,24
Lucky 7-2,5/1/2024,14:42,16.083,7.923,858.7,0.5495,307.7,11.625,122.23,0.2791,4.309,0.43,24
Lucky 7-2,5/7/2024,15:25,19.107,8.371,870,0.557,281.4,13.241,151.23,-0.063517127,4.922,0.43,24
Lucky 7-2,5/14/2024,11:01,18.624,8.462,910.3,0.5825,307,17.532,194.76,0.1353,12.104,0.45,24
Lucky 7-2,5/22/2024,16:10,17.773,7.661,693,0.444,302.5,8.964,98.35,0.2022,6.974,0.34,24
Lucky 7-2,5/29/2024,13:42,18.082,8.087,812,0.52,308,10.324,112.16,0.2901,4.574,0.4,24
Lucky 7-2,6/4/2024,10:15,19.52416667,7.451666667,623.9166667,0.39925,311.75,8.3775,95.65833333,0.073666667,5.676666667,0.303333333,24
Lucky 7-2,6/13/2024,14:10,23.22636364,8.230909091,747.0909091,0.478,289.7272727,9.87,120.1090909,0.173272727,5.035454545,0.366363636,24
Lucky 7-2,6/18/2024,9:26,19.46090909,7.758181818,606.0909091,0.387727273,279,8.340909091,94.92727273,-0.030924597,5.654545455,0.298181818,24
Lucky 7-2,6/27/2024,10:33,19.533125,8.005,703,0.45,193.25,8.31875,93.8,0.220375,,0.34,24
Lucky 7-2,7/1/2024,15:40,20.486,7.999,727,0.465,290.6,8.881,101.88,0.1187,,0.36,24
Lucky 7-2,7/11/2024,9:30,20.01,8.128181818,779,0.499,261.9090909,8.975454545,101.8454545,0.126,,0.38,24
Lucky 7-2,7/16/2024,10:49,22.9,8.27,836,0.535,294.6666667,6.306666667,76.16666667,0.125222222,,0.41,24
Lucky 7-2,8/2/2024,8:56,20.28272727,8.078181818,818,0.524,237.0909091,8.274545455,94.36363636,0.287363636,,0.4,24
Lucky 7-2,8/8/2024,15:15,19.78,8.123333333,834.8888889,0.534,315.6666667,9.38,106.1333333,0.137222222,,0.41,24
Lucky 7-2,8/13/2024,10:21,17.336,8.286,847.4,0.542,281,11.574,124.06,0.1125,,0.42,24
Lucky 7-2,8/20/2024,9:57,17.983,8.017,858,0.549,385.6,10.195,110.37,0.1467,,0.42,24
Lucky 7-2,8/26/2024,11:11,24.567,8.252,831.2,0.5319,319,11.582,143.83,0.3762,,0.408,24
Lucky 7-2,9/4/2024,15:45,24.585,8.566,896.2,0.5735,320.5,17.259,214.11,0.0739,,0.44,24
Lucky 7-2,9/9/2024,14:51,23.598,8.7,888.6,0.5686,307.5,16.241,197.98,0.0957,,0.44,24
Lucky 7-2,11/6/2024,15:30,8.14,7.403,953.7,0.61,350.7,10.433,90.86,0.1898,,0.48,24
Lucky 7-2,11/12/2024,10:46,3.306,7.206,965.2,0.618,367.2,12.376,95.11,0.1338,,0.49,24
Mystic Lake Center,4/15/2024,9:32,15.771,7.57,816.4,0.5226,347,8.311,86.92,0.8065,19.076,0.4,24
Mystic Lake Center,4/29/2024,9:27,12.008,7.596,761.8,0.4877,392.4,7.483,73.03,0.5723,44.856,0.38,24
Mystic Lake Center,5/13/2024,9:06,19.202,8.498,748,0.479,366,11.199,126.66,1.036,36.379,0.37,24
Mystic Lake Center,5/22/2024,9:23,19.482,8.065,696,0.445,328.6,8.066,92.16,0.974,13.19,0.34,24
Mystic Lake Center,6/10/2024,8:49,20.5826087,9.166521739,541,0.346043478,350.9130435,11.96652174,137.7043478,0.261674396,4.47,0.265652174,24
Mystic Lake Center,6/25/2024,9:48,25.22407407,8.572222222,523.2222222,0.334925926,289.7407407,11.87481481,150.9185185,0.586222222,10.21333333,0.252592593,24
Mystic Lake Center,7/1/2024,8:48,21.679,8.881,536.7,0.3434,357.8,9.173,107.49,0.6116,,0.26,24
Mystic Lake Center,7/17/2024,8:42,24.18636364,9.029090909,520.3636364,0.333,276,7.895454545,97.27272727,0.640545455,,0.25,24
Mystic Lake Center,7/29/2024,8:41,26.108,8.588,547.5,0.35,352.1,7.366,95,0.4789,,0.268,24
Mystic Lake Center,8/12/2024,9:08,21.31714286,7.692857143,607,0.388642857,365.9285714,7.687142857,89.63571429,0.564071429,,0.3,24
Mystic Lake Center,8/22/2024,8:41,22.2,7.778,574,0.367,297,5.84,69.16,0.5798,,0.28,24
Mystic Lake Center,9/11/2024,9:06,19.787,8.001,589,0.377,357.6,7.676,87.49,0.6679,,0.29,24
Mystic Lake Center,9/23/2024,9:43,19.94066667,7.527333333,609.7333333,0.390133333,313.6666667,4.846666667,55.16666667,0.571266667,,0.3,24
Mystic Lake Center,10/8/2024,9:31,14.096,7.634,634,0.406,297.4,8.148,82.06,0.5256,,0.31,24
Mystic Lake Center,10/24/2024,9:32,12.4345,7.5185,643.95,0.412,335.45,8.594,83.585,0.5931,,0.32,24
Peterson Wetland 1,7/31/2024,9:11,24.497,7.383,812.2,0.5198,274.9,4.381,54.65,0.1985,1.56,0.4,24
Pike Lake East,4/18/2024,10:48,12.969,9.388,525,0.336,263.7,10.176,99.42,1.1096,9.441,0.26,24
Pike Lake East,11/11/2024,9:31,6.824,7.552,549,0.351,316.8,9.975,84.19,0.1202,,0.27,24
Pike Lake Northeast,4/18/2024,11:04,12.635,9.452,523.2,0.3348,288.5,11.541,111.95,0.4733,6.944,0.26,24
Pike Lake Northeast,11/20/2024,13:18,5.916666667,7.461666667,524.3333333,0.33575,358,10.52666667,87.96666667,0.419166667,,0.26,24
